"river name","area","nodes"
"Tamiraparani",5600.47219049,294
"Tamshui",2697.15305336,429
"Tanjiang",5086.88267447,681
"Tengqiao.Dong.He",700.798323201,85
"Terengganu",4537.05171244,815
"Touchien",563.687961544,75
"Tra.Khuc",3452.48226247,494
"Trang",3559.5452191,413
"Trat",1676.00202308,340
"Tsengwen",1375.51265961,224
"Tuhai.Majia.He",14365.333636,646
"Uppala",258.930868422,72
"Urubokka.Oya",385.825368408,38
"Valapattanam",1794.61761685,269
"Vamanapuram",708.601501702,80
"Ve",888.0239079,155
"Vinh.Tanh",2947.14522503,393
"Walawe.Ganga",2502.18754635,274
"Wanglou.He",654.572827093,64
"Wanquan",3971.11571099,500
"Wen.He",6603.68313663,295
"Wila.Oya",484.061663651,36
"Ichi",514.655865361,52
"Xiaoling.He",5042.66835165,255
"Yan.Oya",1572.14489441,125
"Yangsan",2882.57522718,246
"Yingna.He",862.401755964,44
"Yongjiang",3060.9882392,254
"Zhubijiang",970.031860177,111
"Bharathapuzha",6160.76884212,810
"Biwa",8319.03181481,839
"Chalakkudy",1801.46430041,291
"Ibi",2043.53255074,272
"Imari",236.658163327,14
"Kallada",1634.79856409,178
"Karamana",522.29233265,56
"Korea.un.1",1076.40105018,97
"Kuma",1954.02177983,320
"Longshou.He",587.739640441,64
"Periyar",4548.76417827,537
"Phattalung",3143.65633835,116
"Quang.Tri",2678.6888182,240
"Sedili",1453.61586499,220
"Shinano",1293.21575509,199
"Yoshii.Okayama",4235.37909341,246
"Pulau.Langkawi.Island",448.083401228,12
"Agano",7805.68749981,918
"Aki",290.055696844,10
"Gonokawa",3905.19013516,424
"Nuta",543.964671977,50
"Saba",468.795083054,61
"Sendai.Tottori",1193.62546033,150
"Shimanto",2152.87436107,309
"Tougur",11902.7625968,669
"Poronai",7161.1851706,386
"Koppi",7327.74083256,494
"Samarga",7688.93043121,484
"Botchi",2859.86896515,168
"Teshio",5578.42061338,612
"Tonbetsu",601.447943825,75
"Kushiro",2420.38441257,187
"Kievka",3099.36634334,173
"Shiribetsu",1621.52385513,221
"Saru",1342.40874248,154
"Iwaki",2558.29646306,263
"Xingcheng.He",695.778300706,34
"Mabechi",2634.86747204,168
"Yoneshiro",4073.7896397,545
"Shi.He",425.354461097,16
"Kuji.Iwate",470.892452777,44
"Omono",4765.05862335,602
"Fuzhou.He",1827.19802665,90
"Abukuma",5362.64342477,499
"Naka.Ibaraki",3152.85520303,300
"Oyabe",1757.26247874,322
"Arakawa",3860.93537595,216
"Tama",1211.95245108,104
"Sagami",1780.52855496,164
"Maruyama",1305.32508988,169
"Tsurumi",310.951394414,18
"Ooi",1292.22820259,164
"Tenjin",494.289859118,62
"Kano",848.514166082,126
"Machiya",281.875128232,40
"Takahashi.Okayama",2640.40892869,241
"Suzuka",389.566037186,38
