MAIN_BAS,area,nodes
1070030220,54236.8,25
1070030400,14586.1,9
1070030450,44435.7,25
1070030840,9125.2,9
1070031290,23171.7,9
1070031570,15261.3,9
1070032150,7567.4,10
1070032170,16544.0,9
1070032850,5933.3,10
1070034260,2916808.3,1254
1070035400,32381.6,17
1070035590,54938.5,25
1070036020,48011.8,17
1070036110,13335.8,9
1070036750,18932.5,9
1070036860,56180.2,33
1070037100,28533.5,9
1070038850,12770.5,9
1070039250,17765.8,9
1070039740,16946.4,9
1070040000,12683.9,9
1070040190,980211.9,466
1070040200,644114.3,326
1070040210,450953.3,171
1070040220,305376.1,121
1070040230,211532.0,83
1070040240,174242.0,89
1070040250,158695.8,52
1070040260,149328.6,73
1070040270,140784.3,65
1070040280,131109.6,57
1070040290,103752.0,26
1070040300,97980.1,52
1070040310,94901.7,41
1070040320,94540.7,42
1070040330,90161.1,17
1070040340,89136.9,41
1070040350,86996.2,9
1070040360,84585.5,41
1070040370,79610.0,25
1070040380,78587.7,25
1070040390,74556.6,33
1070040400,70156.4,41
1070040410,64664.3,33
1070040420,63044.1,33
1070040430,61611.1,25
1070040440,60814.2,9
1070040450,59113.1,9
1070040460,58965.4,25
1070040470,53358.0,25
1070040480,52475.0,9
1070040490,52304.2,25
1070040500,51946.2,25
1070040510,50196.5,17
1070040520,49734.1,17
1070040530,47583.6,25
1070040540,47307.5,25
1070040560,45608.5,25
1070040570,45570.0,9
1070040580,43595.0,9
1070040590,42982.2,9
1070040600,40503.4,17
1070040610,38309.8,9
1070040620,37739.9,17
1070040630,35149.5,17
1070040640,32990.0,9
1070040650,32596.3,9
1070040660,31900.8,9
1070040670,30515.4,9
1070040680,29401.7,9
1070040690,29274.4,9
1070040700,28870.6,9
1070040720,28057.5,9
1070040730,26958.6,9
1070040740,26608.1,9
1070040750,25882.4,9
1070040760,25223.0,9
1070040770,25136.7,9
1070040780,24791.2,9
1070040790,24636.2,9
1070040810,24276.1,9
1070040820,24227.6,9
1070040830,23262.7,9
1070040840,22211.5,8
1070040850,22027.9,8
1070040860,22021.0,9
1070040870,21076.2,9
1070040880,20638.5,9
1070040890,20633.5,9
1070040900,18913.8,9
1070040910,18909.5,9
1070040920,18650.8,9
1070040930,18576.6,9
