river_name,river_area,N_nodes,sim_nodes,DG,HC,HCE5,HCE10,HCR,HCRE5,HCRE10,BW,BWR,BWC,CL,RW,CO,EI
Shoalhaven,7073.62024867,326,NA,1.99386503067485,23.3582568243123,23.5498209312465,59.4503201993015,0.71324955012739,1.55002224972504,1.79368212579122,3749.45398773006,7498.9079754606,0.783833371014059,0.00013287442278853,4.65875804250964e-07,1,2.5455019691419
Denmark,783.129371892,30,NA,1.93333333333333,7.83324971324971,12.0666850497103,18.2324281904287,0.887646183052511,1.60977844611916,1.93034957630615,67.2666666666667,134.533333333333,0.171087525864697,0.00634353106521167,0.000252438319528452,1,2.41410112819762
King.1,421.701305084,22,NA,1.90909090909091,6.75310245310245,10.4224005857812,14.7431147997607,0.933765942310185,1.64458710958541,2.05837247577012,36.6363636363636,73.2727272727273,0.182899017561392,0.0110413504385507,0.000624622410078594,1,2.38849869647938
Bow,298.910800183,22,NA,1.90909090909091,6.84862914862915,10.6300993064361,14.944797685993,0.951868491276553,1.68055764503996,2.10255102506061,34.6363636363636,69.2727272727273,0.173540235366073,0.0115180534695613,0.00065477246820844,1,2.40687295006629
Marbelup.Brook,312.412076923,15,NA,1.86666666666667,5.46730158730159,8.3041711117291,10.9784510595021,0.970967682273828,1.72575473615061,2.32340862566347,17.6666666666667,35.3333333333333,0.207774326492603,0.0211548528106146,0.00185242992415888,1,2.30334940029433
Onkaparinga,551.284428775,34,NA,1.94117647058824,8.16067853714913,12.3838296857297,19.3391289562548,0.854279355036469,1.57495698919997,1.84694489857141,91.1764705882353,182.352941176471,0.177097792913149,0.00480911512892387,0.000165758369966155,1,2.40300206465554
Clyde.Aus,1732.62640186,82,NA,1.97560975609756,13.1780988452226,19.2028018625773,36.0130645927719,0.819908993344327,1.6133249190123,1.90421325533537,343.512195121951,687.024390243904,0.152036253298243,0.00134925191581506,1.90940036848566e-05,1,2.52264448424422
Snowy,15041.9491127,696,NA,1.99712643678161,32.1148514086891,25.3341062630409,69.9007985557097,0.69311732363997,1.55541422807521,1.79463143651521,13417.0416666667,26834.0833333343,0.816513041288046,3.77645427314585e-05,6.17142327560822e-08,1,2.56791430035136
Tuross,1815.04787083,88,NA,1.97727272727273,13.4766760723705,19.2737603182839,37.0942780980355,0.80541551882301,1.58397426789839,1.8618246478274,389.511363636364,779.02272727273,0.161877578612849,0.00120341304861843,1.63657512905349e-05,1,2.52460867297726
Bega.2,1961.15028256,98,NA,1.97959183673469,13.8961743548658,19.3085457918869,37.9989746643339,0.787301311846357,1.57761120843958,1.83733740080139,500.489795918367,1000.97959183674,0.244453024141371,0.000950191750045456,1.1414241963984e-05,1,2.52645888451244
Mitchell.Victoria,8673.42414582,233,NA,1.99141630901288,20.8613550950773,23.1905292032796,56.7274619884398,0.739201422022443,1.56607111346157,1.81151566967817,1912.30042918455,3824.60085836913,0.705734809481863,0.000256869692379433,1.30633550831659e-06,1,2.54423434655398
Glenelg,12160.4729896,587,NA,1.99659284497445,28.8889172818485,23.9259566075548,63.228302087173,0.692238037554808,1.55856691635908,1.79826330080676,10540.4207836457,21080.8415672927,0.763393443997453,4.8380969114127e-05,9.7807905097058e-08,1,2.55487811689467
East.Gippsland,1973.02817862,96,NA,1.97916666666667,13.2824620940162,18.173030464049,35.3658280869968,0.774360155182568,1.57847681310098,1.82178033807814,544.34375,1088.6875,0.437110052267638,0.000877519047014999,1.05350417170236e-05,1,2.49813267907474
La.Trobe,9034.35013734,418,NA,1.99521531100478,25.4176542706987,23.9542480850145,60.9463364805267,0.706696661404313,1.55923380920159,1.80047500023211,6014.61244019139,12029.2248803829,0.680462055064677,8.30007625901148e-05,2.22822196262739e-07,1,2.5656417383189
Maribyrnong,1580.73489228,65,NA,1.96923076923077,11.8641692646218,17.9395647062546,31.976804128875,0.829828613425003,1.580357013032,1.8939645697537,220.984615384615,441.969230769232,0.109289390812552,0.00206416760581598,3.90629384079101e-05,1,2.52609389656403
Hopkins,8757.95786755,227,NA,1.99118942731278,19.6078399816917,22.0770126110435,51.370434104502,0.730086578950981,1.56232780476378,1.80949934904868,2175,4350.00000000001,0.546239987424787,0.000226251716021944,1.13319426017087e-06,1,2.53226785614139
Bemm,1108.73359905,38,NA,1.94736842105263,9.18656723393565,14.4358952412339,22.5666482220259,0.896442319174512,1.63958577276808,1.98697216344013,87.8421052631579,175.684210526316,0.1359848789644,0.00489657348332974,0.000158837628240336,1,2.49305958008984
Yarra,3886.7164656,190,NA,1.98947368421053,18.4460324670588,22.0868937000366,49.4872096430524,0.74792725627587,1.58096318226059,1.83942840524791,1593.12631578947,3186.25263157896,0.464559896676011,0.000306152028744257,1.81323653732181e-06,1,2.53482347514492
Werribee,1454.36784662,68,NA,1.97058823529412,12.2014985975194,18.3849138642806,33.0535023531806,0.83902445340705,1.60466515274374,1.902715776277,235.691176470588,471.382352941177,0.108309425509689,0.00193399797080099,3.45940284861335e-05,1,2.52479066795383
Lake.Frome,488.845893214,24,NA,1.91666666666667,7.16018518518518,11.1418989385225,15.934873435052,0.93791707442396,1.66313743764267,2.06171383718809,40.875,81.75,0.169177253009007,0.00993834611006469,0.000517663810770848,1,2.42182894318399
Barwon,5052.18284467,218,NA,1.99082568807339,20.2872796382003,23.2230723251264,55.634819179476,0.739529566107822,1.55320507859709,1.8063869238568,1736.13302752294,3472.2660550459,-2.02099793757858,0.00028381486363344,1.56872628064422e-06,1,2.55544056776658
Avon.Aus,2465.3524918,91,NA,1.97802197802198,13.201178365872,18.3462854108245,35.8087272507793,0.784313118172109,1.56740204131852,1.82446533808793,452.450549450549,904.901098901099,0.229886819533476,0.00104313452720971,1.33263855030769e-05,1,2.49972062736861
Wombat.creek,430.666018574,10,NA,1.8,4.36,6.41286128817627,7.92936149091514,1.05040282004538,1.85412788856638,2.71975783441495,7.6,15.2,0.23622751462676,0.0430816188544383,0.00589588863337708,1,2.21431974337753
Paterson,778.889116503,38,NA,1.94736842105263,8.8893583025162,13.7684816200953,21.8642395376627,0.864572303491564,1.614510641847,1.94739062983703,95.4736842105263,190.947368421053,0.147127858652555,0.00456449974199313,0.000147239931341746,1,2.43797055757082
Fitzroy,1422.94298697,66,NA,1.96969696969697,11.2511330645675,16.3054084631811,29.3013620771659,0.80220032881103,1.57908376146508,1.82700526357247,283.272727272727,566.545454545455,0.292065306987197,0.00164139630878211,2.86544728068866e-05,1,2.47419339102628
Eumeralla,904.640747725,44,NA,1.95454545454545,9.48036365001606,14.4401756181606,23.6695536101304,0.85139335168582,1.59971816241657,1.88146199460152,130.704545454545,261.409090909091,0.147936258914237,0.00341336104546399,9.20700724101556e-05,1,2.46079916201281
